Date,UnitsSold,hashtag_count,avg_likes,InterestScore,weekday,month,lag_1,lag_7,lag_14,lag_30,rm_7,rm_30
2024-03-03,12.0,0.0,0.0,0.0,6,3,0.0,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0,3,12.0,0.0,0.0,0.0,12.0,12.0
2024-03-05,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,6.0,6.0
2024-03-06,0.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.0,4.0,4.0
2024-03-07,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,0.0,3.0,3.0
2024-03-08,0.0,0.0,0.0,0.0,4,3,0.0,0.0,0.0,0.0,2.4,2.4
2024-03-09,0.0,0.0,0.0,0.0,5,3,0.0,0.0,0.0,0.0,2.0,2.0
2024-03-10,0.0,0.0,0.0,0.0,6,3,0.0,12.0,0.0,0.0,1.7142857142857142,1.7142857142857142
2024-03-11,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,1.5
2024-03-12,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,1.3333333333333333
2024-03-13,0.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.0,0.0,1.2
2024-03-14,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,1.0909090909090908
2024-03-15,0.0,0.0,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,1.0
2024-03-16,0.0,0.0,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.9230769230769231
2024-03-17,0.0,0.0,0.0,0.0,6,3,0.0,0.0,12.0,0.0,0.0,0.8571428571428571
2024-03-18,0.0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.8
2024-03-19,0.0,0.0,0.0,0.0,1,3,0.0,0.0,0.0,0.0,0.0,0.75
2024-03-20,0.0,0.0,0.0,0.0,2,3,0.0,0.0,0.0,0.0,0.0,0.7058823529411765
2024-03-21,0.0,0.0,0.0,0.0,3,3,0.0,0.0,0.0,0.0,0.0,0.6666666666666666
2024-03-22,0.0,0.0,0.0,0.0,4,3,0.0,0.0,0.0,0.0,0.0,0.631578947368421
2024-03-23,0.0,0.0,0.0,0.0,5,3,0.0,0.0,0.0,0.0,0.0,0.6
2024-03-24,0.0,0.0,0.0,0.0,6,3,0.0,0.0,0.0,0.0,0.0,0.5714285714285714
